"","SPECIES","DISTRICT","SIZE","YEAR","REGION","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"227","TANNER","W166",76,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.210019070195553
"228","TANNER","E166",76,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0528984271968792
"229","TANNER","ALL",77,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.125254918754994
"230","TANNER","W166",77,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.22228736012722
"231","TANNER","E166",77,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0566287874297547
"232","TANNER","ALL",78,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.131910675215097
"233","TANNER","W166",78,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.235059063215288
"234","TANNER","E166",78,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.060605376607749
"235","TANNER","ALL",79,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.138863958555348
"236","TANNER","W166",79,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.248330263644389
"237","TANNER","E166",79,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0648420163316641
"238","TANNER","ALL",80,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.146122068589614
"239","TANNER","W166",80,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.262094015189841
"240","TANNER","E166",80,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0693529548482319
"241","TANNER","ALL",81,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.15369183641017
"242","TANNER","W166",81,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.2763401716921
"243","TANNER","E166",81,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0741528269795517
"244","TANNER","ALL",82,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.161579545450584
"245","TANNER","W166",82,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.291055249280565
"246","TANNER","E166",82,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0792566043124673
"247","TANNER","ALL",83,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.16979084915409
"248","TANNER","W166",83,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.306222326507558
"249","TANNER","E166",83,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0846795346784837
"250","TANNER","ALL",84,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.178330685846436
"251","TANNER","W166",84,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.321820988194599
"252","TANNER","E166",84,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0904370699691216
"253","TANNER","ALL",85,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.187203191539064
"254","TANNER","W166",85,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.337827318176922
"255","TANNER","E166",85,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0965447813731602
"256","TANNER","ALL",86,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.19641161151894
"257","TANNER","W166",86,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.354213945251699
