"","Year","directedfish_biomass","bin","prop_mature_weighted","prop_mature_weighted_kg","prop_mature_unweighted","survey_abundance","lag1_survey_abundance","lag2_survey_abundance","lag3_survey_abundance","survey_biomass","lag1_survey_biomass","lag2_survey_biomass","lag3_survey_biomass","MarApr_ice"
"57",2021,2.48,"Large",0.864240235664203,0.872507696001133,0.838509316770186,3.3775208382346,4.38778016420631,4.09103136886603,3.05427703398185,2.52950459388764,3.50817529138043,3.22686491792697,2.24400667576001,-0.592061163039237
"58",2021,2.48,"Small",0.458628642759363,0.464481034610243,0.545454545454545,2.3135417114069,6.20820371526255,7.44638335524452,6.36623135982268,0.595749452249363,3.80720896510155,4.96238052256644,3.89265709626194,-0.592061163039237
"59",2022,NA,"Large",0.708513216883079,0.713393531841104,0.79,2.4979085104683,3.3775208382346,4.38778016420631,4.09103136886603,1.74020482873548,2.52950459388764,3.50817529138043,3.22686491792697,-0.137410044709743
"60",2022,NA,"Small",0.381036555917247,0.35985037832406,0.296875,4.0997969006057,2.3135417114069,6.20820371526255,7.44638335524452,1.7757897027027,0.595749452249363,3.80720896510155,4.96238052256644,-0.137410044709743
"61",2023,NA,"Large",0.783103804079694,0.796534491145146,0.811475409836066,2.15188514045456,2.4979085104683,3.3775208382346,4.38778016420631,1.43095713967566,1.74020482873548,2.52950459388764,3.50817529138043,-0.271636356164283
"62",2023,NA,"Small",0.16433383239019,0.172095611335882,0.222222222222222,4.72096087003758,4.0997969006057,2.3135417114069,6.20820371526255,2.31829295054061,1.7757897027027,0.595749452249363,3.80720896510155,-0.271636356164283
"63",2024,NA,"Large",0.680721179029327,0.687166617064269,0.744897959183674,2.50022024267482,2.15188514045456,2.4979085104683,3.3775208382346,1.72446841432659,1.43095713967566,1.74020482873548,2.52950459388764,0.0622194888032631
"64",2024,NA,"Small",0.218300573933759,0.227713233107323,0.245967741935484,6.09336879122507,4.72096087003758,4.0997969006057,2.3135417114069,3.65014334798431,2.31829295054061,1.7757897027027,0.595749452249363,0.0622194888032631
"65",2025,NA,"Large",0.754394490131792,0.756524742637048,0.766990291262136,3.36880653818722,2.50022024267482,2.15188514045456,2.4979085104683,2.52756026915212,1.72446841432659,1.43095713967566,1.74020482873548,-0.229580945829418
"66",2025,NA,"Small",0.16490003506093,0.173842942331286,0.227810650887574,6.63665425981715,6.09336879122507,4.72096087003758,4.0997969006057,4.21352657240267,3.65014334798431,2.31829295054061,1.7757897027027,-0.229580945829418
